Commodity in MRDS,Commodity in GeoKb,ID in GeoKB
Abrasive,abrasive,Q407
"Abrasive, Corundum",corundum abrasive,Q408
"Abrasive, Emery",emery abrasive,Q409
"Abrasive, Garnet",garnet abrasive,Q410
"Aggregate, Light Weight",light weight aggregate,Q472
Aluminum,aluminum,Q293
"Aluminum, Contained Or Metal",contained or metal aluminum,Q412
"Aluminum, High Alumina Clay",high alumina clay aluminum,Q413
Andalusite,andalusite,Q414
Antimony,antimony,Q295
Arsenic,arsenic,Q297
Asbestos,Asbestos,Q415
Barium-Barite,barium-barite,Q419
Bismuth,bismuth,Q302
Boron-Borates,boron-borates,Q418
Cadmium,cadmium,Q306
Carbon Dioxide,carbon dioxide,Q434
Cement Rock,cement rock,Q420
Chromium,chromium,Q313
"Chromium, Ferrochrome",ferrochrome chromium,Q440
Clay,clay,Q421
"Clay, Ball Clay",ball clay,Q422
"Clay, Bloating Material",bloating material clay,Q424
"Clay, Brick",brick clay,Q423
"Clay, Chlorite",chlorite clay,Q426
"Clay, Fire (Refractory)",fire (refractory) clayÂ ,Q428
"Clay, Fullers Earth",fullers earth clay,Q427
"Clay, General",general clay,Q430
"Clay, Glauconite",glauconite clay,Q429
"Clay, Hectorite",hectorite clay,Q431
"Clay, Kaolin",kaolin clay,Q432
"Clay, Montmorillonite",montmorillonite clay,Q433
"Coal, Anthracite",anthracite coal,Q436
"Coal, Bituminous",bituminous coal,Q437
"Coal, Lignite",lignite coal,Q438
"Coal, Subbituminous",subbituminous coal,Q439
Cobalt,cobalt,Q314
Copper,copper,Q315
"Copper, Oxide",oxide copper,Q441
"Copper, Sulfide",sulfide copper,Q442
Dolomite,dolomite,Q444
Feldspar,feldspar,Q449
Fluorine-Fluorite,fluorine-fluorite,Q446
Gemstone,gemstone,Q452
"Gemstone, Diamond",Diamond,Q453
"Gemstone, Emerald",emerald,Q454
"Gemstone, Ruby",Ruby,Q456
"Gemstone, Sapphire",Sapphire,Q457
"Gemstone, Semiprecious",semiprecious gemstone,Q458
Geothermal,geothermal,Q459
Gold,gold,Q329
"Gold, Refinery",refinery gold,Q417
Graphite,Graphite,Q460
"Graphite, Carbon",carbon graphite,Q461
Gypsum-Anhydrite,gypsum-anhydrite,Q463
"Gypsum-Anhydrite, Alabaster",alabaster gypsum-anhydrite,Q464
Hafnium,hafnium,Q330
Helium,helium,Q332
Indium,indium,Q335
Iodine,iodine,Q336
Iron,iron,Q337
"Iron, Pig Iron",pig iron,Q447
"Iron, Pyrite",pyrite iron,Q448
Kyanite,kyanite,Q467
Lead,lead,Q342
"Limestone, Dimension",dimension limestone,Q470
"Limestone, High Calcium",high calcium limestone,Q469
"Limestone, Ultra Pure",ultra pure limestone,Q471
Lithium,lithium,Q343
Magnesite,magnesite,Q475
Manganese,manganese,Q346
"Manganese, Ferromanganese",ferromanganese manganese,Q477
Mercury,mercury,Q349
Mica,Mica,Q476
Mineral Pigments,mineral pigments,Q478
Molybdenum,molybdenum,Q350
Natural Gas,Natural gas,Q451
Nickel,nickel,Q354
Niobium,niobium,Q355
Nitrogen-Nitrates,nitrogen-nitrates,Q479
Nonmetal,nonmetal,Q480
platinum-group elements,platinum-group elements,Q291
Potassium,potassium,Q365
"Potassium, Alum",alum potassium,Q466
Silver,silver,Q381
"Silver, Refinery",refinery silver,Q411
Tin,tin,Q392
Uranium,uranium,Q398
Zinc,zinc,Q403